External code,Vendor,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
B2F4K5,B,2,0.9735350012779236,0.9035564661026001,0.7318463921546936,0.8435194492340088,0.956806480884552,0.4936857223510742,0.43149352073669434,0.486516535282135,0.9484346508979797,0.8240793347358704,0.5770959854125977,0.7293849587440491,0.9171898365020752,0.32774415612220764,0.2750983238220215,0.32145482301712036
B2G5R2,A,1,0.9695425629615784,0.9410513639450073,0.808716893196106,0.8442785739898682,0.9715609550476074,0.866628110408783,0.7905682325363159,0.7211140990257263,0.9408856630325317,0.8886657357215881,0.6788620948791504,0.7305208444595337,0.9446946978569031,0.7646458745002747,0.6536691784858704,0.5638611912727356
B2L0L2,C,4,0.9551525115966797,0.9568930864334106,0.7959252595901489,0.7129446864128113,0.9516825675964355,0.735390841960907,0.6746639013290405,0.6094578504562378,0.9141549468040466,0.9173490405082703,0.6610264182090759,0.5539347529411316,0.9078190922737122,0.5815162658691406,0.5090511441230774,0.43828797340393066
B3D0N1,B,3,0.9795711040496826,0.9250036478042603,0.7430129051208496,0.9345954060554504,0.9847999811172485,0.852841854095459,0.7649902105331421,0.8771771788597107,0.9599602222442627,0.8604714870452881,0.5911061763763428,0.8772211074829102,0.970055103302002,0.7434387803077698,0.6194203495979309,0.7812249064445496
B3E2W8,D,5,0.9457246661186218,0.8524962663650513,0.7579148411750793,0.7582017183303833,0.9379001259803772,0.45397794246673584,0.6323027610778809,0.3317587375640869,0.8970376253128052,0.7429136633872986,0.6101955771446228,0.6105675101280212,0.8830620646476746,0.2936426103115082,0.46231192350387573,0.19886736571788788
B3F0V9,F,6,0.9743008017539978,0.8986055254936218,0.7491423487663269,0.892541766166687,0.9779534339904785,0.8562169671058655,0.7035475969314575,0.7834274768829346,0.9498894214630127,0.815879762172699,0.5989029407501221,0.8059371709823608,0.9568580389022827,0.7485834360122681,0.5426713824272156,0.6439628601074219
B3O1S0,F,6,0.9734530448913574,0.9256728887557983,0.7818925976753235,0.8607461452484131,0.9804863929748535,0.8217042088508606,0.7537349462509155,0.6986501216888428,0.948279082775116,0.8616304397583008,0.6418913006782532,0.7555349469184875,0.9617196917533875,0.6973667144775391,0.6047950387001038,0.5368657112121582
B3P3R1,F,6,0.9675440788269043,0.9388330578804016,0.8488913774490356,0.8425509333610535,0.9795889854431152,0.8174423575401306,0.7806351184844971,0.829796552658081,0.9371286630630493,0.884717583656311,0.7374555468559265,0.7279378175735474,0.9599945545196533,0.6912495493888855,0.6401981115341187,0.7091044783592224
B3S2Z4,B,2,0.9631826281547546,0.8905733227729797,0.5666406750679016,0.7684857845306396,0.987194299697876,0.9175679087638855,0.6888825297355652,0.8968132138252258,0.9289799928665161,0.8027329444885254,0.3953235447406769,0.6240169405937195,0.9747123718261719,0.847690999507904,0.5254163146018982,0.8129295706748962
B4E1K1,B,3,0.9783703684806824,0.8909819722175598,0.769792914390564,0.9249748587608337,0.9805000424385071,0.831477165222168,0.7956870794296265,0.8204336166381836,0.9576565623283386,0.8033971786499023,0.6257425546646118,0.8604216575622559,0.961746096611023,0.7115625739097595,0.6606979370117188,0.695538341999054
